Usia,Jenis_Kelamin,Kota,Pendapatan,Kategori_Produk,Harga_Satuan,Jumlah,Diskon_Persen,Metode_Pembayaran,Membership,Rating,Lama_Pengiriman_Hari,Kode_Promosi,Total_Pembelian
21.0,Perempuan,Padang,8042073.0,Fashion,2425491.0,7,0.0,Kartu Kredit,Bronze,4.2,5,PROMO20,10381145.0
43.0,Perempuan,Pekanbaru,7287978.0,Kecantikan,1217171.0,2,10.0,Transfer Bank,Gold,3.7,7,GRATISONGKIR,2431909.0
21.0,Perempuan,Palembang,7904972.0,Fashion,408461.0,5,20.0,Transfer Bank,Platinum,4.0,6,TANPA_PROMO,2878133.0
47.0,Laki-laki,Bengkulu,6765424.0,Olahraga,3366975.0,5,10.0,Kartu Kredit,Silver,2.8,7,PROMO20,8952631.0
20.0,Perempuan,Bengkulu,7065704.0,Kecantikan,4078143.0,6,20.0,E-Wallet,Platinum,4.2,3,HEMAT15,12697699.0
31.0,Perempuan,Palembang,6559982.0,Kecantikan,1455080.0,5,15.0,Transfer Bank,Gold,4.9,2,TANPA_PROMO,4772311.0
38.0,Laki-laki,Padang,5639725.0,Fashion,1275323.0,6,15.0,COD,Silver,4.0,3,HEMAT15,4523235.0
52.0,Perempuan,Bengkulu,7032433.0,Kecantikan,2735269.0,4,0.0,Transfer Bank,Platinum,3.8,5,PROMO10,7358664.0
55.0,Laki-laki,Jambi,6225850.0,Rumah Tangga,3747035.0,1,15.0,Kartu Kredit,Bronze,3.1,5,GRATISONGKIR,2617082.0
40.0,Perempuan,Jambi,7353259.0,Elektronik,4238914.0,4,5.0,E-Wallet,Gold,4.6,1,HEMAT15,10679882.0
52.0,Laki-laki,Palembang,1800000.0,Kecantikan,195503.0,3,25.0,Transfer Bank,Bronze,2.6,4,PROMO20,576561.0
34.0,Laki-laki,Jambi,2221134.0,Rumah Tangga,2690884.0,7,0.0,Kartu Kredit,Bronze,3.5,4,GRATISONGKIR,13227359.0
19.0,Laki-laki,Bengkulu,6452755.0,Kecantikan,3623344.0,5,15.0,E-Wallet,Bronze,2.9,5,PROMO10,9056586.0
49.0,Laki-laki,Padang,6879629.0,Elektronik,1902769.0,7,20.0,E-Wallet,Gold,2.6,2,GRATISONGKIR,6985710.0
54.0,Laki-laki,Jambi,3197438.0,Olahraga,2587445.0,3,20.0,E-Wallet,Bronze,4.0,1,GRATISONGKIR,3978345.0
25.0,Laki-laki,Jambi,2694924.0,Elektronik,3481310.0,1,5.0,COD,Gold,2.7,2,PROMO20,2891988.0
45.0,Perempuan,Jambi,6480661.0,Olahraga,772314.0,2,20.0,Kartu Kredit,Silver,3.4,6,HEMAT15,1366860.0
51.0,Perempuan,Palembang,6460568.0,Olahraga,1308412.0,2,5.0,Kartu Kredit,Bronze,4.2,6,GRATISONGKIR,2395084.0
53.0,Laki-laki,Bengkulu,6765424.0,Fashion,2955955.0,1,10.0,COD,Bronze,2.8,7,TANPA_PROMO,2827903.0
19.0,Perempuan,Palembang,4697618.0,Rumah Tangga,605907.0,3,15.0,COD,Gold,3.7,2,PROMO20,2054540.0
37.0,Laki-laki,Palembang,8618140.0,Elektronik,4894225.0,3,5.0,Transfer Bank,Bronze,3.2,6,HEMAT15,8750450.0
41.0,Perempuan,Palembang,11512653.0,Olahraga,4395561.0,2,20.0,Transfer Bank,Silver,4.3,4,PROMO20,5708092.0
28.0,Laki-laki,Padang,7722409.0,Kecantikan,3275021.0,1,15.0,E-Wallet,Bronze,3.9,6,GRATISONGKIR,2640100.0
40.0,Perempuan,Bengkulu,6524967.0,Olahraga,4008916.0,2,10.0,Kartu Kredit,Silver,4.1,2,PROMO10,5043163.0
25.0,Laki-laki,Palembang,3025054.0,Olahraga,266125.0,6,25.0,COD,Bronze,4.6,6,GRATISONGKIR,1243241.0
30.0,Perempuan,Bengkulu,6253660.0,Olahraga,3891201.0,7,15.0,Transfer Bank,Bronze,3.3,4,TANPA_PROMO,15764127.0
19.0,Laki-laki,Padang,9490147.0,Fashion,2751150.0,4,0.0,E-Wallet,Bronze,2.7,1,GRATISONGKIR,7489741.0
44.0,Perempuan,Bengkulu,1800000.0,Rumah Tangga,2274697.0,6,10.0,E-Wallet,Bronze,4.7,3,HEMAT15,7644939.0
50.0,Perempuan,Padang,6765424.0,Olahraga,453556.0,1,0.0,Kartu Kredit,Bronze,3.0,5,GRATISONGKIR,501067.0
39.0,Perempuan,Palembang,4925218.0,Elektronik,1746135.0,1,15.0,Transfer Bank,Bronze,2.8,2,TANPA_PROMO,1536951.0
55.0,Laki-laki,Padang,3511635.0,Kecantikan,1519503.0,4,25.0,Transfer Bank,Bronze,3.0,8,HEMAT15,2636679.0
24.0,Laki-laki,Padang,10276647.0,Elektronik,136704.0,6,20.0,E-Wallet,Platinum,4.0,6,HEMAT15,2226393.0
36.0,Perempuan,Bengkulu,8722759.0,Kecantikan,3325080.0,6,0.0,COD,Bronze,2.9,6,HEMAT15,11817157.0
33.0,Laki-laki,Pekanbaru,7660244.0,Olahraga,2907067.0,3,25.0,COD,Bronze,4.6,5,HEMAT15,4429017.0
41.0,Laki-laki,Palembang,3564566.0,Fashion,2218953.0,2,25.0,Transfer Bank,Bronze,4.7,1,GRATISONGKIR,2316306.0
34.0,Perempuan,Jambi,8936113.0,Kecantikan,2812794.0,4,20.0,E-Wallet,Platinum,3.8,7,TANPA_PROMO,6453096.0
24.0,Laki-laki,Bengkulu,5114282.0,Olahraga,2918104.0,2,15.0,COD,Bronze,4.0,3,GRATISONGKIR,4197968.0
44.0,Laki-laki,Palembang,6202779.0,Fashion,1827798.0,2,0.0,Transfer Bank,Silver,4.9,4,PROMO10,2992287.0
38.0,Perempuan,Bengkulu,8357773.0,Olahraga,2734700.0,4,5.0,Transfer Bank,Bronze,4.9,2,TANPA_PROMO,6828153.0
52.0,Perempuan,Pekanbaru,8926656.0,Olahraga,3068667.0,2,15.0,Transfer Bank,Silver,4.7,6,PROMO20,4320938.0
28.0,Perempuan,Palembang,5893219.0,Kecantikan,3854171.0,2,25.0,E-Wallet,Platinum,2.6,7,TANPA_PROMO,4418690.0
41.0,Laki-laki,Pekanbaru,3836897.0,Fashion,850279.0,2,5.0,COD,Bronze,3.9,4,PROMO20,1327759.0
54.0,Perempuan,Padang,8206040.0,Rumah Tangga,4745488.0,7,15.0,Kartu Kredit,Bronze,4.1,5,PROMO10,16657252.0
32.0,Perempuan,Bengkulu,7276947.0,Fashion,3321060.0,3,0.0,COD,Bronze,4.0,3,TANPA_PROMO,6104502.0
47.0,Laki-laki,Jambi,8290115.0,Rumah Tangga,1895601.0,1,0.0,Kartu Kredit,Bronze,3.6,8,TANPA_PROMO,1525699.0
28.0,Laki-laki,Pekanbaru,9938190.0,Fashion,846086.0,2,10.0,Transfer Bank,Silver,3.6,1,HEMAT15,2736691.0
28.0,Perempuan,Palembang,6741412.0,Kecantikan,2684613.0,1,25.0,COD,Gold,4.7,6,HEMAT15,2363373.0
38.0,Perempuan,Bengkulu,9232335.0,Fashion,1762782.0,1,20.0,COD,Bronze,4.6,6,PROMO20,1831206.0
42.0,Laki-laki,Palembang,6882726.0,Olahraga,3635212.0,4,15.0,COD,Bronze,3.3,1,GRATISONGKIR,7746503.0
44.0,Laki-laki,Padang,6219069.0,Olahraga,4120847.0,5,5.0,E-Wallet,Gold,3.2,2,GRATISONGKIR,12265156.0
53.0,Perempuan,Padang,5381507.0,Olahraga,3927942.0,6,15.0,Kartu Kredit,Bronze,5.0,6,PROMO20,12051042.0
50.0,Laki-laki,Padang,7537714.0,Olahraga,1300013.0,4,25.0,E-Wallet,Bronze,4.1,8,PROMO10,3127341.0
44.0,Perempuan,Jambi,7545701.0,Kecantikan,2238021.0,4,0.0,Kartu Kredit,Silver,3.1,1,TANPA_PROMO,6063706.0
39.0,Laki-laki,Jambi,7226702.0,Rumah Tangga,4142852.0,2,10.0,Transfer Bank,Silver,4.7,8,PROMO10,5456390.0
52.0,Perempuan,Pekanbaru,8668590.0,Elektronik,2925614.0,2,10.0,COD,Bronze,2.5,4,GRATISONGKIR,3963414.0
45.0,Laki-laki,Palembang,4173431.0,Kecantikan,609894.0,4,25.0,Transfer Bank,Bronze,3.0,6,GRATISONGKIR,1515108.0
25.0,Perempuan,Bengkulu,3077350.0,Olahraga,771495.0,3,5.0,Transfer Bank,Silver,2.6,3,PROMO20,1924818.0
36.0,Perempuan,Palembang,8983555.0,Elektronik,941052.0,4,15.0,Kartu Kredit,Silver,4.7,1,HEMAT15,3733736.0
29.0,Perempuan,Pekanbaru,8321938.0,Fashion,912257.0,6,20.0,COD,Gold,3.7,8,TANPA_PROMO,3828643.0
37.0,Perempuan,Bengkulu,6584813.0,Kecantikan,4632090.0,3,20.0,Transfer Bank,Gold,2.9,6,GRATISONGKIR,6803157.0
41.0,Perempuan,Jambi,8133203.0,Elektronik,2221106.0,5,25.0,E-Wallet,Platinum,3.8,7,GRATISONGKIR,6059680.0
49.0,Laki-laki,Pekanbaru,75000000.0,Elektronik,3029184.0,2,10.0,Kartu Kredit,Gold,3.8,4,PROMO20,3759850.0
49.0,Laki-laki,Jambi,2868381.0,Olahraga,2017026.0,1,0.0,COD,Bronze,3.2,2,PROMO10,1858933.0
24.0,Perempuan,Palembang,9109592.0,Olahraga,4575471.0,1,5.0,E-Wallet,Gold,4.8,4,TANPA_PROMO,4421571.0
50.0,Laki-laki,Bengkulu,3730548.0,Rumah Tangga,3797443.0,2,25.0,E-Wallet,Bronze,2.6,8,PROMO10,3549220.0
26.0,Perempuan,Jambi,6854977.0,Olahraga,2960028.0,5,0.0,Kartu Kredit,Bronze,3.8,5,PROMO20,9049554.0
39.0,Laki-laki,Bengkulu,2950497.0,Elektronik,153263.0,50,20.0,Transfer Bank,Bronze,2.9,8,GRATISONGKIR,831977.0
44.0,Laki-laki,Pekanbaru,7854559.0,Elektronik,62791.0,1,0.0,E-Wallet,Silver,3.9,4,HEMAT15,1245766.0
50.0,Laki-laki,Palembang,7087511.0,Kecantikan,963696.0,1,5.0,E-Wallet,Silver,4.5,4,GRATISONGKIR,1764393.0
42.0,Perempuan,Pekanbaru,7715573.0,Olahraga,1678636.0,4,10.0,COD,Bronze,4.3,7,PROMO20,4088604.0
47.0,Laki-laki,Palembang,7809882.0,Kecantikan,2007948.0,2,20.0,Kartu Kredit,Bronze,3.8,6,HEMAT15,2764482.0
41.0,Laki-laki,Bengkulu,2083350.0,Kecantikan,2194571.0,2,15.0,Transfer Bank,Silver,4.7,5,PROMO20,2451348.0
45.0,Perempuan,Padang,10140952.0,Fashion,2639269.0,6,15.0,E-Wallet,Silver,3.7,3,PROMO10,8570252.0
35.0,Laki-laki,Padang,6481880.0,Kecantikan,3002603.0,1,5.0,Transfer Bank,Gold,4.9,5,PROMO10,2954758.0
39.0,Laki-laki,Padang,6414613.0,Olahraga,2548982.0,2,15.0,Transfer Bank,Gold,4.0,8,TANPA_PROMO,3558377.0
39.0,Perempuan,Padang,8304541.0,Rumah Tangga,2986729.0,1,5.0,Kartu Kredit,Gold,3.1,8,HEMAT15,2812446.0
52.0,Perempuan,Bengkulu,6172868.0,Fashion,2690884.0,7,15.0,Kartu Kredit,Silver,4.8,2,TANPA_PROMO,8473243.0
43.0,Perempuan,Bengkulu,8181250.0,Fashion,4131345.0,4,10.0,E-Wallet,Bronze,4.9,3,PROMO20,9504802.0
39.0,Perempuan,Palembang,1925919.0,Olahraga,4874764.0,3,15.0,Kartu Kredit,Silver,3.8,5,PROMO10,7386348.0
27.0,Perempuan,Palembang,9811055.0,Kecantikan,3145258.0,1,20.0,COD,Gold,3.6,3,PROMO10,2578697.0
95.0,Laki-laki,Padang,6672500.0,Kecantikan,3919862.0,1,5.0,COD,Bronze,5.0,3,GRATISONGKIR,3275812.0
39.0,Perempuan,Palembang,5192178.0,Olahraga,493650.0,4,20.0,Kartu Kredit,Bronze,4.6,8,PROMO10,1780058.0
43.0,Perempuan,Jambi,7035604.0,Olahraga,3637891.0,7,15.0,Kartu Kredit,Bronze,2.9,8,PROMO20,12841830.0
32.0,Perempuan,Palembang,7637435.0,Elektronik,2355773.0,6,20.0,Transfer Bank,Platinum,2.7,7,TANPA_PROMO,7777946.0
46.0,Laki-laki,Bengkulu,2743990.0,Kecantikan,3268956.0,1,15.0,Kartu Kredit,Platinum,4.6,5,HEMAT15,2890622.0
26.0,Perempuan,Palembang,6311321.0,Kecantikan,3890233.0,7,20.0,E-Wallet,Silver,3.8,1,TANPA_PROMO,13299615.0
33.0,Laki-laki,Palembang,6095340.0,Fashion,672420.0,1,15.0,COD,Bronze,4.2,3,PROMO10,1243409.0
54.0,Laki-laki,Pekanbaru,7444786.0,Fashion,4327870.0,5,5.0,Kartu Kredit,Bronze,2.7,1,TANPA_PROMO,12340232.0
35.0,Laki-laki,Padang,9386602.0,Kecantikan,2765074.0,6,5.0,Transfer Bank,Bronze,3.4,3,PROMO10,9815737.0
30.0,Perempuan,Pekanbaru,9150935.0,Kecantikan,2054853.0,6,15.0,COD,Bronze,3.6,4,GRATISONGKIR,7042478.0
38.0,Perempuan,Padang,5142401.0,Fashion,3302070.0,4,15.0,Kartu Kredit,Bronze,4.1,6,TANPA_PROMO,6677827.0
39.0,Laki-laki,Palembang,8313714.0,Elektronik,2769600.0,4,0.0,E-Wallet,Platinum,2.8,3,PROMO20,8119342.0
52.0,Perempuan,Bengkulu,10112612.0,Kecantikan,3850233.0,4,20.0,E-Wallet,Bronze,2.8,8,PROMO20,7471544.0
18.0,Perempuan,Jambi,7953706.0,Rumah Tangga,4424363.0,7,15.0,COD,Bronze,4.9,2,TANPA_PROMO,15738426.0
45.0,Perempuan,Jambi,5458462.0,Fashion,4297032.0,7,5.0,Transfer Bank,Bronze,2.5,1,TANPA_PROMO,16620310.0
45.0,Perempuan,Bengkulu,8515577.0,Kecantikan,1141778.0,3,0.0,E-Wallet,Silver,4.3,4,HEMAT15,3354204.0
25.0,Perempuan,Palembang,8145676.0,Rumah Tangga,3591680.0,7,15.0,Transfer Bank,Gold,4.7,8,PROMO10,12975998.0
49.0,Perempuan,Palembang,4504812.0,Olahraga,1815824.0,4,0.0,COD,Gold,3.8,7,PROMO10,4799978.0
49.0,Laki-laki,Bengkulu,7979335.0,Rumah Tangga,2690884.0,4,10.0,E-Wallet,Silver,3.6,2,HEMAT15,7274058.0
44.0,Perempuan,Bengkulu,9802138.0,Olahraga,2630109.0,4,25.0,E-Wallet,Gold,3.0,2,TANPA_PROMO,6072012.0
42.0,Laki-laki,Padang,5172440.0,Fashion,3987776.0,7,15.0,Transfer Bank,Silver,3.5,3,HEMAT15,13990180.0
39.0,Perempuan,Palembang,4925218.0,Elektronik,1746135.0,1,15.0,Transfer Bank,Bronze,2.8,2,TANPA_PROMO,1536951.0
49.0,Perempuan,Palembang,12233150.0,Rumah Tangga,4087956.0,7,25.0,Kartu Kredit,Gold,4.9,3,PROMO20,13795993.0
34.0,Laki-laki,Bengkulu,10499643.0,Kecantikan,136030.0,5,25.0,E-Wallet,Gold,3.3,4,PROMO10,1727210.0
43.0,Perempuan,Jambi,3396129.0,Fashion,4818567.0,6,0.0,COD,Silver,3.5,6,PROMO20,16419736.0
26.0,Perempuan,Jambi,8589375.0,Rumah Tangga,497884.0,4,15.0,Transfer Bank,Silver,3.9,2,GRATISONGKIR,2578296.0
41.0,Perempuan,Pekanbaru,3747808.0,Olahraga,480843.0,7,5.0,COD,Silver,4.3,7,HEMAT15,2482093.0
19.0,Laki-laki,Palembang,5465381.0,Elektronik,3278010.0,5,15.0,Transfer Bank,Silver,3.7,4,TANPA_PROMO,8291955.0
19.0,Perempuan,Bengkulu,6528493.0,Kecantikan,50000000.0,2,20.0,Transfer Bank,Silver,3.1,1,GRATISONGKIR,2742156.0
31.0,Perempuan,Bengkulu,4505527.0,Kecantikan,2527204.0,5,5.0,Transfer Bank,Gold,4.8,2,PROMO10,7959001.0
41.0,Laki-laki,Jambi,12651272.0,Olahraga,4866834.0,1,5.0,Transfer Bank,Bronze,4.1,3,PROMO10,4268913.0
23.0,Laki-laki,Padang,4415412.0,Fashion,3363482.0,4,5.0,Kartu Kredit,Silver,4.8,5,PROMO20,7751580.0
32.0,Perempuan,Pekanbaru,9100343.0,Kecantikan,4188190.0,6,0.0,Kartu Kredit,Bronze,4.4,4,PROMO10,15339627.0
55.0,Perempuan,Pekanbaru,3123707.0,Rumah Tangga,1649497.0,2,15.0,COD,Silver,3.9,1,TANPA_PROMO,2490617.0
21.0,Perempuan,Padang,3305151.0,Elektronik,3181076.0,6,10.0,Transfer Bank,Platinum,3.9,2,TANPA_PROMO,10566379.0
49.0,Perempuan,Pekanbaru,6587432.0,Olahraga,4304108.0,2,25.0,Transfer Bank,Gold,4.3,5,HEMAT15,5192045.0
41.0,Laki-laki,Bengkulu,6765424.0,Fashion,3602297.0,7,5.0,COD,Silver,3.0,2,TANPA_PROMO,14360363.0
50.0,Laki-laki,Padang,4498805.0,Elektronik,3808754.0,6,10.0,E-Wallet,Bronze,3.9,6,PROMO10,12242976.0
26.0,Laki-laki,Padang,5852393.0,Kecantikan,760535.0,3,15.0,COD,Silver,4.6,7,GRATISONGKIR,1713315.0
42.0,Perempuan,Padang,10578724.0,Rumah Tangga,3169533.0,1,25.0,COD,Gold,4.0,2,HEMAT15,3041976.0
25.0,Perempuan,Bengkulu,1800000.0,Olahraga,3056167.0,5,0.0,Transfer Bank,Platinum,3.8,3,TANPA_PROMO,9931287.0
49.0,Perempuan,Jambi,7218131.0,Olahraga,2056285.0,4,20.0,E-Wallet,Platinum,3.7,2,PROMO10,5439401.0
20.0,Laki-laki,Bengkulu,2741293.0,Olahraga,2690884.0,3,15.0,Kartu Kredit,Gold,3.2,6,PROMO10,2575893.0
23.0,Perempuan,Palembang,9612920.0,Olahraga,4702108.0,4,10.0,COD,Bronze,3.1,8,TANPA_PROMO,10523182.0
40.0,Laki-laki,Jambi,5908565.0,Fashion,2094504.0,2,15.0,E-Wallet,Silver,4.8,7,HEMAT15,2822155.0
20.0,Perempuan,Pekanbaru,7125840.0,Fashion,3837695.0,5,15.0,Transfer Bank,Gold,3.5,4,PROMO10,10531575.0
45.0,Laki-laki,Padang,6819499.0,Elektronik,3290731.0,7,0.0,Transfer Bank,Silver,3.7,8,PROMO20,13674664.0
39.0,Perempuan,Padang,6096368.0,Elektronik,3329975.0,4,10.0,Transfer Bank,Silver,4.0,7,PROMO10,7546977.0
26.0,Perempuan,Jambi,8057434.0,Kecantikan,3734181.0,3,20.0,COD,Gold,3.8,7,TANPA_PROMO,6154504.0
24.0,Perempuan,Bengkulu,10422848.0,Rumah Tangga,1091230.0,2,25.0,E-Wallet,Silver,2.8,7,PROMO10,2376189.0
52.0,Laki-laki,Bengkulu,3132947.0,Rumah Tangga,2491720.0,5,0.0,Transfer Bank,Gold,4.5,4,HEMAT15,7870022.0
39.0,Perempuan,Pekanbaru,6823857.0,Kecantikan,2409643.0,5,0.0,Transfer Bank,Gold,4.6,1,TANPA_PROMO,8445112.0
43.0,Perempuan,Pekanbaru,5458105.0,Fashion,4961060.0,4,20.0,COD,Bronze,2.6,2,TANPA_PROMO,9358779.0
42.0,Perempuan,Padang,6768519.0,Kecantikan,966881.0,3,20.0,E-Wallet,Platinum,3.5,8,PROMO20,2774236.0
50.0,Laki-laki,Bengkulu,2295242.0,Kecantikan,3218015.0,4,20.0,Transfer Bank,Gold,4.6,7,PROMO10,6486063.0
37.0,Perempuan,Palembang,8594143.0,Elektronik,94701.0,50,20.0,E-Wallet,Gold,4.1,3,PROMO10,1670847.0
52.0,Laki-laki,Padang,9329527.0,Rumah Tangga,4124711.0,3,15.0,Kartu Kredit,Gold,4.3,6,GRATISONGKIR,7255798.0
25.0,Perempuan,Padang,8413429.0,Rumah Tangga,4351058.0,2,0.0,COD,Silver,3.5,4,PROMO10,5873330.0
35.0,Laki-laki,Bengkulu,5002363.0,Elektronik,2690884.0,6,5.0,Transfer Bank,Bronze,3.7,6,HEMAT15,3569338.0
24.0,Perempuan,Jambi,8414022.0,Olahraga,3351509.0,5,0.0,COD,Platinum,3.6,4,PROMO10,11056058.0
22.0,Perempuan,Pekanbaru,4817459.0,Olahraga,2046144.0,4,0.0,Transfer Bank,Silver,4.5,7,PROMO10,5195942.0
50.0,Perempuan,Bengkulu,6232817.0,Fashion,4511809.0,3,10.0,E-Wallet,Silver,4.6,8,GRATISONGKIR,7720153.0
19.0,Perempuan,Bengkulu,6887105.0,Olahraga,2722534.0,6,15.0,Kartu Kredit,Platinum,2.6,4,PROMO10,9111674.0
39.0,Perempuan,Bengkulu,8065199.0,Rumah Tangga,790424.0,5,20.0,E-Wallet,Silver,3.4,7,PROMO10,2942614.0
31.0,Laki-laki,Palembang,10259790.0,Olahraga,4418541.0,1,5.0,E-Wallet,Silver,2.8,8,TANPA_PROMO,3671523.0
54.0,Perempuan,Jambi,7129156.0,Fashion,2437664.0,4,25.0,COD,Silver,4.0,3,PROMO20,5366484.0
49.0,Perempuan,Bengkulu,8889432.0,Olahraga,2944120.0,6,0.0,Kartu Kredit,Silver,3.5,2,TANPA_PROMO,11159935.0
20.0,Laki-laki,Jambi,6037963.0,Olahraga,2271449.0,4,0.0,Transfer Bank,Silver,4.4,3,HEMAT15,5987974.0
29.0,Laki-laki,Bengkulu,2419471.0,Rumah Tangga,2656788.0,5,10.0,E-Wallet,Bronze,3.9,5,PROMO10,7162321.0
45.0,Perempuan,Bengkulu,5555896.0,Rumah Tangga,2025277.0,7,10.0,E-Wallet,Platinum,2.6,1,PROMO20,8119288.0
23.0,Perempuan,Pekanbaru,5842997.0,Fashion,2632564.0,3,25.0,E-Wallet,Platinum,2.5,1,GRATISONGKIR,4888638.0
46.0,Perempuan,Bengkulu,4247599.0,Rumah Tangga,3084074.0,1,20.0,E-Wallet,Gold,3.8,8,PROMO10,2553251.0
54.0,Laki-laki,Jambi,4499853.0,Fashion,3689984.0,1,15.0,Transfer Bank,Bronze,4.8,1,GRATISONGKIR,2846409.0
52.0,Laki-laki,Palembang,5705828.0,Elektronik,1478994.0,6,10.0,Kartu Kredit,Silver,2.8,3,HEMAT15,5064195.0
22.0,Laki-laki,Jambi,10001778.0,Kecantikan,2921556.0,5,0.0,Transfer Bank,Gold,3.9,8,TANPA_PROMO,9681654.0
52.0,Laki-laki,Jambi,4298422.0,Olahraga,1675487.0,2,20.0,E-Wallet,Bronze,4.3,3,HEMAT15,2087410.0
24.0,Laki-laki,Bengkulu,7549022.0,Olahraga,1044252.0,5,20.0,Kartu Kredit,Bronze,2.8,4,PROMO10,2933862.0
25.0,Laki-laki,Padang,6428873.0,Kecantikan,4210239.0,3,15.0,Transfer Bank,Gold,4.5,1,HEMAT15,7212047.0
53.0,Perempuan,Padang,8825675.0,Kecantikan,1909578.0,6,10.0,E-Wallet,Bronze,2.8,8,TANPA_PROMO,6801170.0
45.0,Perempuan,Padang,3016505.0,Kecantikan,2013466.0,6,25.0,Kartu Kredit,Gold,3.3,7,PROMO10,5540848.0
32.0,Perempuan,Palembang,8294874.0,Elektronik,2875977.0,2,10.0,COD,Platinum,3.5,3,PROMO10,4574223.0
30.0,Laki-laki,Palembang,9401445.0,Olahraga,1687902.0,1,0.0,Kartu Kredit,Silver,4.3,2,PROMO10,2325557.0
43.0,Laki-laki,Palembang,7076263.0,Rumah Tangga,1775440.0,6,15.0,E-Wallet,Silver,3.9,3,TANPA_PROMO,5919247.0
46.0,Perempuan,Palembang,4954388.0,Fashion,50000000.0,6,10.0,Transfer Bank,Bronze,2.7,5,PROMO20,547586.0
23.0,Perempuan,Palembang,11566406.0,Elektronik,2684688.0,6,25.0,E-Wallet,Bronze,4.4,3,TANPA_PROMO,8157507.0
46.0,Laki-laki,Palembang,10780917.0,Rumah Tangga,2029531.0,3,15.0,COD,Gold,3.9,6,PROMO20,4557202.0
18.0,Perempuan,Pekanbaru,4785262.0,Elektronik,2960889.0,4,10.0,COD,Platinum,3.6,3,HEMAT15,7258009.0
